Nome,Sobrenome,Email,Valor Gasto
Susan,Wilson,susan.wilson@sakilacustomer.org,85.77
Jay,Robb,jay.robb@sakilacustomer.org,85.75
Lonnie,Tirado,lonnie.tirado@sakilacustomer.org,84.84
Julio,Noland,julio.noland@sakilacustomer.org,84.81
Doris,Reed,doris.reed@sakilacustomer.org,84.81
Mathew,Bolin,mathew.bolin@sakilacustomer.org,84.8
Bonnie,Hughes,bonnie.hughes@sakilacustomer.org,84.8
James,Gannon,james.gannon@sakilacustomer.org,84.79
Jennifer,Davis,jennifer.davis@sakilacustomer.org,84.75
Eva,Ramos,eva.ramos@sakilacustomer.org,83.82
Corey,Hauser,corey.hauser@sakilacustomer.org,83.81
Leslie,Gordon,leslie.gordon@sakilacustomer.org,83.8
Bernard,Colby,bernard.colby@sakilacustomer.org,83.79
Wade,Delvalle,wade.delvalle@sakilacustomer.org,83.78
Patrick,Newsom,patrick.newsom@sakilacustomer.org,83.77
Tyler,Wren,tyler.wren@sakilacustomer.org,82.81
Bob,Pfeiffer,bob.pfeiffer@sakilacustomer.org,82.78
Gene,Sanborn,gene.sanborn@sakilacustomer.org,82.76
Jared,Ely,jared.ely@sakilacustomer.org,81.83
Vernon,Chapa,vernon.chapa@sakilacustomer.org,81.83
Yvonne,Watkins,yvonne.watkins@sakilacustomer.org,81.81
Thomas,Grigsby,thomas.grigsby@sakilacustomer.org,81.81
Jason,Morrissey,jason.morrissey@sakilacustomer.org,81.81
Mark,Rinehart,mark.rinehart@sakilacustomer.org,81.8
Lorraine,Stephens,lorraine.stephens@sakilacustomer.org,81.8
Barbara,Jones,barbara.jones@sakilacustomer.org,81.78
Christian,Jung,christian.jung@sakilacustomer.org,81.78
Jessie,Banks,jessie.banks@sakilacustomer.org,81.76
Cory,Meehan,cory.meehan@sakilacustomer.org,81.76
Megan,Palmer,megan.palmer@sakilacustomer.org,81.75
Paul,Trout,paul.trout@sakilacustomer.org,80.85
Oscar,Aquino,oscar.aquino@sakilacustomer.org,80.83
Eileen,Carr,eileen.carr@sakilacustomer.org,80.82
Steven,Curley,steven.curley@sakilacustomer.org,80.81
Vivian,Ruiz,vivian.ruiz@sakilacustomer.org,80.8
Kristina,Chambers,kristina.chambers@sakilacustomer.org,80.78
Becky,Miles,becky.miles@sakilacustomer.org,80.78
Roland,South,roland.south@sakilacustomer.org,80.77
Keith,Rico,keith.rico@sakilacustomer.org,80.77
Edna,West,edna.west@sakilacustomer.org,79.81
David,Royal,david.royal@sakilacustomer.org,79.81
Jenny,Castro,jenny.castro@sakilacustomer.org,79.8
Roberta,Harper,roberta.harper@sakilacustomer.org,79.8
Jesse,Schilling,jesse.schilling@sakilacustomer.org,79.78
Clarence,Gamez,clarence.gamez@sakilacustomer.org,79.75
Frederick,Isbell,frederick.isbell@sakilacustomer.org,78.84
Austin,Cintron,austin.cintron@sakilacustomer.org,78.82
Carol,Garcia,carol.garcia@sakilacustomer.org,78.81
Margaret,Moore,margaret.moore@sakilacustomer.org,78.8
Dennis,Gilman,dennis.gilman@sakilacustomer.org,78.8
Joan,Cooper,joan.cooper@sakilacustomer.org,78.79
Erika,Pena,erika.pena@sakilacustomer.org,78.79
Colleen,Burton,colleen.burton@sakilacustomer.org,78.78
Ricky,Shelby,ricky.shelby@sakilacustomer.org,78.77
Melinda,Fernandez,melinda.fernandez@sakilacustomer.org,77.84
Emma,Boyd,emma.boyd@sakilacustomer.org,77.81
Luis,Yanez,luis.yanez@sakilacustomer.org,77.81
Chris,Brothers,chris.brothers@sakilacustomer.org,77.8
Ernest,Stepp,ernest.stepp@sakilacustomer.org,77.79
Rita,Graham,rita.graham@sakilacustomer.org,77.78
Lydia,Burke,lydia.burke@sakilacustomer.org,77.77
Marian,Mendoza,marian.mendoza@sakilacustomer.org,76.82
Phyllis,Foster,phyllis.foster@sakilacustomer.org,76.8
Kim,Cruz,kim.cruz@sakilacustomer.org,76.8
Pearl,Garza,pearl.garza@sakilacustomer.org,76.78
Christina,Ramirez,christina.ramirez@sakilacustomer.org,75.83
Leah,Curtis,leah.curtis@sakilacustomer.org,75.81
Samuel,Marlow,samuel.marlow@sakilacustomer.org,75.8
Clayton,Barbee,clayton.barbee@sakilacustomer.org,75.79
Darryl,Ashcraft,darryl.ashcraft@sakilacustomer.org,75.78
Ida,Andrews,ida.andrews@sakilacustomer.org,75.78
Kristen,Chavez,kristen.chavez@sakilacustomer.org,74.84
Dwight,Lombardi,dwight.lombardi@sakilacustomer.org,74.83
Allen,Butterfield,allen.butterfield@sakilacustomer.org,74.83
Larry,Thrasher,larry.thrasher@sakilacustomer.org,74.81
Jacob,Lance,jacob.lance@sakilacustomer.org,74.8
Irene,Price,irene.price@sakilacustomer.org,74.79
April,Burns,april.burns@sakilacustomer.org,74.77
Antonio,Meek,antonio.meek@sakilacustomer.org,73.85
Toni,Holt,toni.holt@sakilacustomer.org,73.83
Danny,Isom,danny.isom@sakilacustomer.org,73.82
Herbert,Kruger,herbert.kruger@sakilacustomer.org,73.81
Alicia,Mills,alicia.mills@sakilacustomer.org,73.81
Rachel,Barnes,rachel.barnes@sakilacustomer.org,73.81
Lance,Pemberton,lance.pemberton@sakilacustomer.org,73.8
Enrique,Forsythe,enrique.forsythe@sakilacustomer.org,73.78
Gregory,Mauldin,gregory.mauldin@sakilacustomer.org,73.78
Norman,Currier,norman.currier@sakilacustomer.org,73.76
Paula,Bryant,paula.bryant@sakilacustomer.org,72.83
Armando,Gruber,armando.gruber@sakilacustomer.org,72.82
Timothy,Bunn,timothy.bunn@sakilacustomer.org,72.82
Anne,Powell,anne.powell@sakilacustomer.org,72.79
Robert,Baughman,robert.baughman@sakilacustomer.org,71.85
Delores,Hansen,delores.hansen@sakilacustomer.org,71.84
Norma,Gonzales,norma.gonzales@sakilacustomer.org,71.81
Ray,Houle,ray.houle@sakilacustomer.org,71.8
Billie,Horton,billie.horton@sakilacustomer.org,71.79
Samantha,Duncan,samantha.duncan@sakilacustomer.org,71.77
Irma,Pearson,irma.pearson@sakilacustomer.org,70.82
Eugene,Culpepper,eugene.culpepper@sakilacustomer.org,70.82
William,Satterfield,william.satterfield@sakilacustomer.org,70.81
Wayne,Truong,wayne.truong@sakilacustomer.org,70.81
Edith,Mcdonald,edith.mcdonald@sakilacustomer.org,69.83
Franklin,Troutman,franklin.troutman@sakilacustomer.org,69.79
Fred,Wheat,fred.wheat@sakilacustomer.org,69.79
Daniel,Cabral,daniel.cabral@sakilacustomer.org,68.87
Floyd,Gandy,floyd.gandy@sakilacustomer.org,68.84
Adrian,Clary,adrian.clary@sakilacustomer.org,68.82
Terry,Grissom,terry.grissom@sakilacustomer.org,68.81
Felicia,Sutton,felicia.sutton@sakilacustomer.org,68.77
Jerome,Kenyon,jerome.kenyon@sakilacustomer.org,67.86
Kenneth,Gooden,kenneth.gooden@sakilacustomer.org,67.86
Ann,Evans,ann.evans@sakilacustomer.org,67.86
Vera,Mccoy,vera.mccoy@sakilacustomer.org,67.82
Jeanette,Greene,jeanette.greene@sakilacustomer.org,66.82
Lloyd,Dowd,lloyd.dowd@sakilacustomer.org,66.81
Alberto,Henning,alberto.henning@sakilacustomer.org,66.79
Kay,Caldwell,kay.caldwell@sakilacustomer.org,65.87
Jonathan,Scarborough,jonathan.scarborough@sakilacustomer.org,65.83
Jeffrey,Spear,jeffrey.spear@sakilacustomer.org,65.83
Marvin,Yee,marvin.yee@sakilacustomer.org,65.81
Joann,Gardner,joann.gardner@sakilacustomer.org,64.85
Henry,Billingsley,henry.billingsley@sakilacustomer.org,64.84
Jose,Andrew,jose.andrew@sakilacustomer.org,64.82
Donald,Mahon,donald.mahon@sakilacustomer.org,63.84
Allan,Cornish,allan.cornish@sakilacustomer.org,63.84
Juan,Fraley,juan.fraley@sakilacustomer.org,63.79
Felix,Gaffney,felix.gaffney@sakilacustomer.org,63.78
Lester,Kraus,lester.kraus@sakilacustomer.org,62.85
Nelson,Christenson,nelson.christenson@sakilacustomer.org,62.84
Tony,Carranza,tony.carranza@sakilacustomer.org,61.82
Scott,Shelley,scott.shelley@sakilacustomer.org,60.82
Anita,Morales,anita.morales@sakilacustomer.org,59.86
Lauren,Hudson,lauren.hudson@sakilacustomer.org,59.83
Jill,Hawkins,jill.hawkins@sakilacustomer.org,58.83
Annie,Russell,annie.russell@sakilacustomer.org,58.82
Mattie,Hoffman,mattie.hoffman@sakilacustomer.org,58.8
Katherine,Rivera,katherine.rivera@sakilacustomer.org,57.87
Sheila,Wells,sheila.wells@sakilacustomer.org,57.86
Johnny,Turpin,johnny.turpin@sakilacustomer.org,57.81
Penny,Neal,penny.neal@sakilacustomer.org,56.84
Jo,Fowler,jo.fowler@sakilacustomer.org,54.85
Bobbie,Craig,bobbie.craig@sakilacustomer.org,52.81
Kirk,Stclair,kirk.stclair@sakilacustomer.org,50.83
Tiffany,Jordan,tiffany.jordan@sakilacustomer.org,49.88
Anthony,Schwab,anthony.schwab@sakilacustomer.org,47.85
Caroline,Bowman,caroline.bowman@sakilacustomer.org,37.87
Leona,Obrien,leona.obrien@sakilacustomer.org,32.9
Brian,Wyman,brian.wyman@sakilacustomer.org,27.93
